Keyword,Type,Commentxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Suitable default,Example values,Data model meta member name,Notes,Used by ASN generator
LAMP,str,Internal lamp state,' ' (null),"'FLAT4', 'LINE1'",model.meta.instrument.lamp_state,NIRSpec,
GWA_XTIL,flt,Grating Y tilt angle relative to mirror,0,0.3310427,model.meta.instrument.gwa_xtilt,NIRSpec,
GWA_YTIL,flt,Grating X tilt angle relative to mirror,0,0.125792116,model.meta.instrument.gwa_ytilt,NIRSpec,
GWA_TILT,flt,GWA TILT (avg/calib) temperature (K),,658.323364,model.meta.instrument.gwa_tilt,NIRSpec,
MSAMETFL,str,MSA metadata file name,,jw90001001001_01_msa.fits,model.meta.instrument.msa_configuration_file,NIRSpec MSA,
MSAMETID,int,MSA metadata ID,,"1, 2, 3, É",model.meta.instrument.msa_metadata_id,NIRSpec MSA,
NUMDTHPT,str,Total number of points in pattern,,'2' (MIRI LRS slit),model.meta.dither.total_points,MIRI LRS slit,
,,,,,,,
,,,,"'2', '3', '5' (NIRSpec fixedslit)",,NIRSpec fixedslit,
PATT_NUM,int,Position number in primary pattern,,"1, 2, 3, 4, 5",model.meta.dither.position_number,MIRI LRS slit,
,,,,,,,
,,,,,,NIRSpec fixedslit,
TARG_RA,flt,Target RA at mid time of exposure,,80.4875,model.meta.target.ra,NIRISS SOSS,
TARG_DEC,flt,Target Dec at mid time of exposure,,-69.498333,model.meta.target.dec,NIRISS SOSS,
,,,,,,,
PROGRAM,str,Program number,'12345','90001' (5-digit int composed as a string),model.meta.observation.program_number,NIRCam,Y
,,,,,,,
,,,,,,Only used by level-3 processing.,
OBSERVTN,str,Observation number,'001','001' (3-digit int composed as a string),model.meta.observation.observation_number,NIRCam,Y
,,,,,,,
,,,,,,Only used by level-3 processing.,
VISIT,str,Visit number,'001','001' (3-digit int composed as a string),model.meta.observation.visit_number,NIRCam,
,,,,,,,
,,,,,,Only used by level-3 processing.,
VISITGRP,str,Visit group identifier,'01','02' (2-digit int composed as a string),model.meta.observation.visit_group,NIRCam,
,,,,,,,
,,,,,,Only used by level-3 processing.,
SEQ_ID,str,Parallel sequence identifier,'1','1' (1-digit int composed as a string),model.meta.observation.sequence_id,NIRCam,
,,,,,,,
,,,,,,Only used by level-3 processing.,
ACT_ID,str,Activity identifier,'01','01' (2-digit int composed as a string),model.meta.observation.activity_id,NIRCam,Y
,,,,,,,
,,,,,,Only used by level-3 processing.,
EXPOSURE,str,Exposure request number,'1','1' (1-digit int composed as a string),model.meta.observation.exposure_number,NIRCam,
,,,,,,,
,,,,,,Only used by level-3 processing.,
OBSLABEL,str,Proposer label for the observation,,'Target 1 NIRCam observation 2',model.meta.observation.observation_label,Free form label for the observation. Only used by level-3 skymatch.,
,,,,,,,
EXPSTART,flt,UTC exposure start time,,57410.24546,model.meta.exposure.start_time,Accurate value not required; just something realistic.,
EXPEND,flt,UTC exposure end time,,57410.2477,model.meta.exposure.end_time,Accurate value not required; just something realistic.,
EFFEXPTM,flt,Effective exposure time (sec),100,182.526,model.meta.exposure.exposure_time,Accurate value not required; just something realistic.,
